conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.96E+18,Sun Aug 17 05:28:58 +0000 2025,0,#REVIEW FILM MERAH PUTIH ONE FOR ALL Sedang tayang di 10 layar @cinema21 film yang viral dan fenomenal di jagat sosmed ini dan tolong di bantu follow dan like akun ini supaya saya lebih semangat review film bioskop untuk kalian semua #17agustus https://t.co/XSmd6AdU3Y,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956951363835097568,357225139,
1.96E+18,Sun Aug 17 05:19:17 +0000 2025,0,muak banget tai ngeliat merah putih one for all ,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956948928089530645,1282320212,
1.96E+18,Sun Aug 17 05:18:27 +0000 2025,0,orang yang paling najis se indo ya buzzer film merah putih one for all,1.96E+18,,,in,,0,0,1,https://x.com/undefined/status/1956948719280246880,1.72E+18,
1.96E+18,Sun Aug 17 05:17:46 +0000 2025,0,@warungkarbit Harapan aku sih semoga film Merah Putih: One For All dihapuskan mint dari muka bumi ini ,1.96E+18,,warungkarbit,in,,0,0,0,https://x.com/undefined/status/1956948546323931390,1.50E+18,
1.96E+18,Sun Aug 17 05:08:50 +0000 2025,0,Update harga terbaru voucher B1G1 promo Cinepolisss : 1 voc harga 12k/voc Ready jg akun cinepolis 3k/akun 1 paket voc b1g1 + akun cine 15k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956946297598136693,1.22E+18,
1.96E+18,Sun Aug 17 05:06:49 +0000 2025,1,merah putih tapi bukan one for all https://t.co/GJ15OzdrNZ,1.96E+18,https://pbs.twimg.com/media/Gyh30zxbkAAXcPZ.jpg,,in,,0,0,0,https://x.com/undefined/status/1956945789965459553,1.89E+18,
1.96E+18,Sun Aug 17 04:59:20 +0000 2025,0,Banyak yang terharu dan bangga ada pula yang melontarkan kritik pedas. Apa sebenarnya yang membuat film ini begitu ramai diperbincangkan? https://t.co/rT2eLHjltl,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956943909415797042,1404018642,
1.96E+18,Sun Aug 17 04:57:48 +0000 2025,0,@fashaadee weh gokil nonton merah putih one for all,1.96E+18,,fashaadee,in,,0,1,0,https://x.com/undefined/status/1956943521853890849,134341937,
1.96E+18,Sun Aug 17 04:48:08 +0000 2025,0,gw ke temen eh tau film merah putih one for all gk? yg dri malaysia itu ya haah??? ,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956941087257358577,1.54E+18,
1.96E+18,Sun Aug 17 04:38:42 +0000 2025,0,@miecup2rasa mending nonton merah putih one for all aja,1.96E+18,,miecup2rasa,in,,0,1,0,https://x.com/undefined/status/1956938716787745102,1.83E+18,
1.96E+18,Sun Aug 17 04:29:28 +0000 2025,0,Loh merah putih one for all ga termasuk?,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956936392506003790,1330725024,
1.96E+18,Sun Aug 17 04:27:21 +0000 2025,0,Selca pandu 1 - 0 merah putih one for all,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956935858910896290,226122752,
1.96E+18,Sun Aug 17 04:25:22 +0000 2025,0,Update harga terbaru voucher B1G1 promo Cinepolisss : 1 voc harga 12k/voc Ready jg akun cinepolis 3k/akun 1 paket voc b1g1 + akun cine 15k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956935359704838261,1.22E+18,
1.96E+18,Sun Aug 17 04:25:05 +0000 2025,6,merah putih one for all https://t.co/xMeIPzKSnu,1.96E+18,https://pbs.twimg.com/media/GyhuRIbakAA7BV7.jpg,,in,,0,1,0,https://x.com/undefined/status/1956935286904217602,1003848559,
1.96E+18,Sun Aug 17 04:24:52 +0000 2025,0,@sellyous merah putih one for all?,1.96E+18,,sellyous,in,,0,1,0,https://x.com/undefined/status/1956935231874941420,1.95E+18,
1.96E+18,Sun Aug 17 04:12:57 +0000 2025,0,@sonceeto merah putih one for all🇮🇩🇮🇩🇮🇩,1.96E+18,,sonceeto,in,,0,1,0,https://x.com/undefined/status/1956932233639674195,1.76E+18,
1.96E+18,Sun Aug 17 04:03:47 +0000 2025,0,@nuanuanum @daijowibu gila nih pecinta merah putih one for all,1.96E+18,,nuanuanum,in,,0,1,0,https://x.com/undefined/status/1956929927468687426,1.33E+18,
1.96E+18,Sun Aug 17 03:55:08 +0000 2025,0,@castwaydva Merah putih one for all ,1.96E+18,,castwaydva,in,,0,1,0,https://x.com/undefined/status/1956927752764059710,1.83E+18,
1.96E+18,Sun Aug 17 03:42:24 +0000 2025,0,Film sampah merah putih one for all berhasil menutup berbagai isu nasional ,1.96E+18,,,in,,0,0,1,https://x.com/undefined/status/1956924547271159941,1.09E+18,
1.96E+18,Sun Aug 17 03:36:01 +0000 2025,3,guys yg nonton merah putih one for all di bioskop dan bkn bajakan jangan temenan sm aku lagi ya,1.96E+18,,,in,,0,3,0,https://x.com/undefined/status/1956922941691892053,1.64E+18,
1.96E+18,Sun Aug 17 03:34:11 +0000 2025,1,Merah putih one for all https://t.co/jTkdusFQGS,1.96E+18,https://pbs.twimg.com/media/GyhinxIa4AALlB5.jpg,,in,,0,0,0,https://x.com/undefined/status/1956922477306900525,1.63E+18,
1.96E+18,Sun Aug 17 03:26:21 +0000 2025,0,Ga kebayang Golshi sepanel sama merah Putih One For All,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956920509150433603,1.92E+18,
1.96E+18,Sun Aug 17 03:19:39 +0000 2025,0,@Gracie_JKT48 Nooo tebakanku salahh.. bukan batik..wedehh.. merah putih bgt tapi bukan one for all ,1.96E+18,,Gracie_JKT48,in,,0,0,0,https://x.com/undefined/status/1956918821543162332,1.76E+18,
1.96E+18,Sun Aug 17 03:16:32 +0000 2025,0,@littloliver_ merah putih one for all,1.96E+18,,litloliver,in,,0,0,0,https://x.com/undefined/status/1956918036633694682,1.94E+18,
1.96E+18,Sun Aug 17 03:15:04 +0000 2025,0,@cinema21 Merdeka! Bila ada yang bisa menggagalkan kedigdayaan Demon Slayer untuk mencapai 1 juta penonton maka itu adalah Merah Putih One For All! Terbukti ketika 1 layar ini dibuka maka ada 27 penonton yang langsung booking tiket untuk pemutaran jam 14:40 #merahputihoneforall https://t.co/8SV8HvJlaS,1.96E+18,https://pbs.twimg.com/media/GyhePhKawAAZ0gr.jpg,el_saintx,in,,0,1,0,https://x.com/undefined/status/1956917667501101449,314737020,
1.96E+18,Sun Aug 17 03:10:14 +0000 2025,0,Tahun ini menurutku menjadi tahum perayaan kemerdekaan indonesai paling unik dan beda dari tahun tahun lalu :l mulai dari desain logo ke-80 bendera one piece dan puncak komedi merah putih one for all. well terlepas dari kerusuhannya.. happy independence day indonesia 80th https://t.co/HE4uTSaEba,1.96E+18,https://pbs.twimg.com/media/GyhbjM2boAApWD1.jpg,,in,,1,0,0,https://x.com/undefined/status/1956916450289238518,1.36E+18,
1.96E+18,Sun Aug 17 03:02:12 +0000 2025,406,merah putih one for all (yg aku suka ) https://t.co/47ttl374ae,1.96E+18,https://pbs.twimg.com/media/GyhbSSCaMAAKqDm.jpg,,in,,5,42,65,https://x.com/undefined/status/1956914431394210007,2766103766,
1.96E+18,Sun Aug 17 02:54:10 +0000 2025,0,@qinkqonk @kegblgnunfaedh Berdasarkan data terbaru penjualan tiket film Merah Putih One For All rendah. Pada hari pertama (14 Agustus 2025) hanya 720 tiket terjual secara nasional jauh di bawah film lain seperti La Tahzan (81.807). Beberapa bioskop melaporkan penonton minim seperti hanya 3 orang di,1.96E+18,,qinkqonk,in,,0,0,0,https://x.com/undefined/status/1956912407303110800,1.72E+18,
1.96E+18,Sun Aug 17 02:52:28 +0000 2025,0,Nonton Merah Putih One For All ,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956911980809478415,1.54E+18,
1.96E+18,Sun Aug 17 02:48:06 +0000 2025,22,Lu kalo ga bisa nonton survival show nonton merah putih one for all aja sana,1.96E+18,,,in,,0,2,1,https://x.com/undefined/status/1956910882094490068,1.09E+18,
1.96E+18,Sun Aug 17 02:35:51 +0000 2025,1,@DemonSlayerSc Mana nasionalismenya??? Harusnya pada nonton merah putih one for all. Hidup Jokowi!!!,1.96E+18,,DemonSlayerSc,in,,0,0,0,https://x.com/undefined/status/1956907798174052645,1.17E+18,
1.96E+18,Sun Aug 17 02:31:03 +0000 2025,1,I got the point admint mau ngejokes ceritanya tapi tabrakan sama yg lagi hype makanya jadi chaos comment sectionnya. Chill bro next must watch Merah Putih : One for all,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956906591875441139,1.11E+18,
1.96E+18,Sun Aug 17 02:28:53 +0000 2025,0, Tunjukan semangat Kemerdekaanmu dengan menonton Merah Putih One for All i don't give a Fuck for tht ,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956906045995110637,1.51E+18,
1.96E+18,Sun Aug 17 02:28:37 +0000 2025,0,@1medicine9 Kok ga ada film merah putih one for all,1.96E+18,,1medicine9,in,,0,0,0,https://x.com/undefined/status/1956905977749672193,1.04E+18,
1.96E+18,Sun Aug 17 02:23:43 +0000 2025,0,@prabowo Bapak sudah menonton Merah Putih One for All?,1.96E+18,,prabowo,in,,0,0,0,https://x.com/undefined/status/1956904744556917124,162036484,
1.96E+18,Sun Aug 17 02:22:39 +0000 2025,0,2 Hari Tayang Demon Slayer Infinity Castle di Indonesia Hampir 1 Juta Penonton Merah Putih One For All? https://t.co/0EZXyOKdkd #demonslayer #merahputihoneforall #anime,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956904476905755022,1.75E+18,
1.96E+18,Sun Aug 17 02:10:12 +0000 2025,14,mending nonton merah putih one for all atau demon slayer infinity castle? ‍️,1.96E+18,,,in,,0,8,0,https://x.com/undefined/status/1956901344629195177,1.64E+18,
1.96E+18,Sun Aug 17 02:05:15 +0000 2025,0,@ry4nn_ anjir baru sadar one for all tuh animasi merah putih ,1.96E+18,,ry4nn_,in,,0,1,0,https://x.com/undefined/status/1956900097393893685,1.28E+18,
1.96E+18,Sun Aug 17 02:03:55 +0000 2025,0,Katanya film merah putih one for all itu punya dampak langsung ke mata ?,1.96E+18,,,in,,0,2,0,https://x.com/undefined/status/1956899761337807121,771146150,
1.96E+18,Sun Aug 17 01:56:42 +0000 2025,1,Si Merah Putih One For All harusnya tayang di TV gak sih? Pengen ngerusak mata ,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956897945846255985,1.53E+18,
1.96E+18,Sun Aug 17 01:52:15 +0000 2025,0,@yasisee itu line di merah putih one for all,1.96E+18,,yasisee,in,,0,1,0,https://x.com/undefined/status/1956896824817508804,1.27E+18,
1.96E+18,Sun Aug 17 01:49:35 +0000 2025,0,@beranttakan Terinspirasi abis nonton Merah Putih One for All ini pasti TAPI KABELNYA HILANG ,1.96E+18,,beranttakan,in,,0,0,0,https://x.com/undefined/status/1956896153758556567,1.42E+18,
1.96E+18,Sun Aug 17 01:47:42 +0000 2025,0,wb concert ‍️ wb merah putih one for all indonesia cintaku 🇮🇩 https://t.co/REliq5uqLm,1.96E+18,https://pbs.twimg.com/media/GyhKPtCb0AATkqb.jpg,,in,,0,0,0,https://x.com/undefined/status/1956895680364159336,1.56E+18,
1.96E+18,Sun Aug 17 01:39:38 +0000 2025,2,https://t.co/jehzBhM1TE Rilis pas di Indonesia 17 agustus -&gt; kemerdekaan indonesia -&gt; ngibarin bendera merah putih -&gt; merah putih -&gt; merah putih all for one,1.96E+18,,,in,,0,0,1,https://x.com/undefined/status/1956893650232967533,2286628710,
